"CPF";"Nome";"DDD";"Telefone";"Classificacao";"Divida"
"10244521310";"Margarida Palmas Stutz";"12";"959128774";"L";""
"11125248785";"Cláudio Peixoto Barellos";"17";"945271192";"";""
"12150713373";"Benício Arlia Duarte";"11";"947685566";"A";""
"14436831590";"Tereza Pires Barbosa";"22";"994053970";"A";""
"14768110401";"José Ximenes Vargas";"11";"334940412";"";""
"15271527409";"Alba Knupp Barrada";"22";"931442914";"";""
"15445645207";"Marisa de Padua da Sousa";"21";"911021168";"L";""
"15796045440";"Marlene Silva Meyer";"19";"991341440";"L";""
"18112077231";"Júlio Rosa Viana";"22";"917547560";"L";""
"19167287409";"Lina de Lima Uchôa";"13";"925186816";"L";""
"19377803411";"Bryan Louzano Schuenck";"13";"979111679";"A";""
"19777654405";"Thayanna Lopez Matos";"22";"937421486";"A";""
"21568085206";"Wallace Fernandes dos Passos";"27";"931512775";"L";""
"21848187203";"Magna Rubi Correia";"22";"905381805";"L";""
"22738637485";"Severino Latin Nigro";"15";"994296613";"A";""
"22841875954";"Adilson de Padua Pedroso";"11";"962112712";"L";""
"23205940270";"Vânia Cordeiro Queiroz";"17";"913404039";"L";""
"23353854371";"Thamirys Pires Correia";"21";"944248820";"A";""
"23712872453";"Alex Wulff Moraes";"11";"762087607";"L";""
"23777748064";"Vilma Passos Fernando";"22";"902492718";"L";""
"24488247970";"Alzira Annunziato Navega";"27";"998478256";"A";""
"24867810134";"Laura Viana Trancoso";"21";"993091753";"L";""
"25611278264";"Jhonata Coutinho Pinto";"22";"948336165";"L";""
"26071793432";"Ivan Felizardo Sarmento";"11";"903649616";"L";""
"27387358435";"Renata Bilé Saldanha";"21";"987407812";"L";""
"27931085450";"Nilton Manhães Guimarães";"11";"997635474";"L";""
"28235543435";"Carmen da Sousa Linhares";"22";"909637937";"L";""
"28371521294";"Rosali Baesso Marques";"11";"978342023";"A";""
"28861423523";"Ana Carolina Amaral Caldas";"17";"929841436";"L";""
"29444887405";"Maria Luiza Werling Mello";"21";"992620366";"L";""
"32615743481";"Glauber Carvalho Muchão";"11";"929201474";"L";""
"33421388318";"Thainá Diniz Frotté";"12";"699167650";"N";""
